transaction_id,amount_sar,channel,merchant_category,timestamp,probability
TXN-2026-00000,42.67,pos,HEALTHCARE,2026-07-18T03:43:47Z,0.4152834799424261
TXN-2026-00001,288.54,pos,RESTAURANT,2026-06-27T07:28:37Z,0.2025397319330547
TXN-2026-00002,86.99,ecom,PHARMACY,2026-07-19T10:06:05Z,0.3156347844475175
TXN-2026-00003,48.21,ecom,JEWELRY,2026-07-11T19:56:55Z,0.3338352110342197
TXN-2026-00004,96.36,ecom,EDUCATION,2026-06-15T03:24:17Z,0.822902367552158
TXN-2026-00005,80.26,transfer,UTILITIES,2026-06-30T12:17:59Z,0.05396129188490995
TXN-2026-00006,20.29,pos,HOME_GOODS,2026-06-18T02:13:58Z,0.24646934109911248
TXN-2026-00007,24.78,pos,TRAVEL,2026-06-17T23:37:27Z,0.07922885413452802
TXN-2026-00008,68.04,ecom,ELECTRONICS,2026-07-14T13:38:04Z,0.3229623798054475
TXN-2026-00009,217.94,atm,GROCERY,2026-07-27T17:48:17Z,0.578315922610504
TXN-2026-00010,388.73,ecom,HEALTHCARE,2026-07-03T05:32:58Z,0.9014708038364316
TXN-2026-00011,1063.3,atm,JEWELRY,2026-07-02T00:07:59Z,0.9561195872386269
TXN-2026-00012,32.42,atm,ELECTRONICS,2026-06-05T17:49:08Z,0.3342394520756063
TXN-2026-00013,256.77,pos,RESTAURANT,2026-06-26T21:41:23Z,0.21732494162539204
TXN-2026-00014,91.51,pos,GROCERY,2026-06-15T00:04:45Z,0.4977640606128217
TXN-2026-00015,69.43,pos,UTILITIES,2026-07-17T18:36:30Z,0.11565458942419705
TXN-2026-00016,58.81,pos,UTILITIES,2026-06-30T23:03:43Z,0.11284151947263152
TXN-2026-00017,62.32,pos,JEWELRY,2026-06-18T14:15:55Z,0.1106584532253116
TXN-2026-00018,162.27,pos,UTILITIES,2026-07-02T15:13:55Z,0.16053508139517048
TXN-2026-00019,107.1,pos,HEALTHCARE,2026-06-10T06:18:13Z,0.12238658918005439
TXN-2026-00020,76.44,pos,ENTERTAINMENT,2026-06-11T01:32:05Z,0.47302999985394645
TXN-2026-00021,22.62,transfer,ONLINE_SERVICES,2026-07-10T02:26:42Z,0.14598076618691513
TXN-2026-00022,40.49,pos,FASHION,2026-06-20T14:20:59Z,0.042894109358597915
TXN-2026-00023,110.79,ecom,JEWELRY,2026-07-24T17:45:19Z,0.4230213802716705
TXN-2026-00024,126.68,transfer,TRAVEL,2026-06-19T19:13:45Z,0.07248470685419328
TXN-2026-00025,51.35,transfer,HOME_GOODS,2026-06-17T05:47:28Z,0.18492970474406203
TXN-2026-00026,18.39,transfer,JEWELRY,2026-07-06T04:27:08Z,0.18214647047175114
TXN-2026-00027,416.36,atm,RESTAURANT,2026-06-23T17:56:55Z,0.6772757538836008
TXN-2026-00028,330.23,atm,EDUCATION,2026-07-21T22:06:24Z,0.6445156994709496
TXN-2026-00029,62.67,atm,HOME_GOODS,2026-07-26T02:49:17Z,0.7767695730069053
TXN-2026-00030,44.86,pos,GROCERY,2026-06-28T11:46:50Z,0.08786524875692854
TXN-2026-00031,419.89,pos,GROCERY,2026-07-17T23:47:42Z,0.2440760688150923
TXN-2026-00032,7.31,transfer,ONLINE_SERVICES,2026-07-17T09:32:19Z,0.013295068577839653
TXN-2026-00033,202.72,ecom,FUEL,2026-07-06T00:19:18Z,0.9062712781352381
TXN-2026-00034,105.78,ecom,ENTERTAINMENT,2026-07-03T15:50:57Z,0.3910223678274667
TXN-2026-00035,71.84,atm,EDUCATION,2026-07-22T06:09:01Z,0.4224502072150948
TXN-2026-00036,70.89,atm,ELECTRONICS,2026-07-07T06:45:44Z,0.3943368401632788
TXN-2026-00037,40.79,atm,TELECOM,2026-06-12T22:33:29Z,0.4017972801134893
TXN-2026-00038,128.73,ecom,EDUCATION,2026-07-06T19:20:48Z,0.4355878358951992
TXN-2026-00039,81.15,atm,ENTERTAINMENT,2026-07-11T08:49:49Z,0.4304536192112154
TXN-2026-00040,78.79,ecom,RESTAURANT,2026-07-05T02:08:09Z,0.8196098314587007
TXN-2026-00041,60.32,pos,ENTERTAINMENT,2026-06-27T12:57:49Z,0.09886158240551493
TXN-2026-00042,40.24,pos,FUEL,2026-07-05T19:57:14Z,0.1322658014540971
TXN-2026-00043,2105.77,ecom,FUEL,2026-07-29T04:39:34Z,0.9693327546353881
TXN-2026-00044,26.8,pos,UTILITIES,2026-06-12T01:16:24Z,0.36267986729341195
TXN-2026-00045,60.55,atm,HOME_GOODS,2026-07-01T00:47:34Z,0.7702129060098486
TXN-2026-00046,7.64,atm,UTILITIES,2026-07-10T04:15:08Z,0.6735971684407411
TXN-2026-00047,164.49,pos,ONLINE_SERVICES,2026-06-08T05:19:06Z,0.5135661390660192
TXN-2026-00048,18.25,pos,HEALTHCARE,2026-07-24T20:15:06Z,0.06488435525543873
TXN-2026-00049,15.09,pos,PHARMACY,2026-07-02T03:27:23Z,0.2611876155806821
TXN-2026-00050,15.45,ecom,UTILITIES,2026-07-05T15:29:27Z,0.21205182127412894
TXN-2026-00051,109.65,pos,ENTERTAINMENT,2026-06-22T00:31:54Z,0.5140339493899628
TXN-2026-00052,53.01,atm,PHARMACY,2026-07-27T08:35:00Z,0.3386748747778673
TXN-2026-00053,306.26,ecom,UTILITIES,2026-06-02T02:18:14Z,0.8895618054400807
TXN-2026-00054,81.58,pos,JEWELRY,2026-07-18T17:21:22Z,0.12754547707262134
TXN-2026-00055,7.95,pos,JEWELRY,2026-06-18T23:37:48Z,0.0498678870542601
TXN-2026-00056,20.53,pos,TRAVEL,2026-06-09T08:02:03Z,0.0631240429368494
TXN-2026-00057,139.64,ecom,ENTERTAINMENT,2026-06-04T08:55:30Z,0.40581371815878264
TXN-2026-00058,175.97,ecom,UTILITIES,2026-06-16T03:35:48Z,0.8613833072776425
TXN-2026-00059,56.31,atm,FUEL,2026-07-10T23:06:48Z,0.5374855888047365
TXN-2026-00060,82.79,pos,TRAVEL,2026-06-27T14:44:38Z,0.12237121326155043
TXN-2026-00061,147.9,pos,RESTAURANT,2026-07-30T06:27:07Z,0.15365380063153922
TXN-2026-00062,288.2,pos,TRAVEL,2026-07-23T18:58:18Z,0.21040766060308466
TXN-2026-00063,110.81,ecom,ENTERTAINMENT,2026-07-27T13:47:20Z,0.39141665018325456
TXN-2026-00064,175.54,atm,ONLINE_SERVICES,2026-07-19T21:52:17Z,0.49471800440019903
TXN-2026-00065,121.56,transfer,FUEL,2026-06-06T15:22:26Z,0.09733735425613634
TXN-2026-00066,71.86,pos,HEALTHCARE,2026-06-26T17:02:29Z,0.11422737933011973
TXN-2026-00067,284.42,atm,GROCERY,2026-06-27T01:12:33Z,0.9153827749004894
TXN-2026-00068,266.18,pos,FASHION,2026-06-29T22:31:07Z,0.10806199000293483
TXN-2026-00069,313.22,pos,HOME_GOODS,2026-06-08T20:53:09Z,0.15244429650932648
TXN-2026-00070,86.22,pos,ENTERTAINMENT,2026-07-29T19:32:47Z,0.12297210354983634
TXN-2026-00071,41.09,pos,GROCERY,2026-07-08T18:42:31Z,0.09038587066496681
TXN-2026-00072,85.67,pos,EDUCATION,2026-06-21T06:44:15Z,0.11341784695425154
TXN-2026-00073,724.61,ecom,EDUCATION,2026-06-10T15:02:08Z,0.6321163014923662
TXN-2026-00074,54.99,pos,TELECOM,2026-06-27T20:09:04Z,0.10867334743097647
TXN-2026-00075,592.0,atm,HOME_GOODS,2026-07-11T22:56:48Z,0.6093493008622337
TXN-2026-00076,88.29,ecom,TELECOM,2026-06-06T13:06:48Z,0.3811270458915497
TXN-2026-00077,92.84,atm,FASHION,2026-06-16T16:26:36Z,0.2980736217542463
TXN-2026-00078,295.29,atm,ONLINE_SERVICES,2026-07-08T04:14:29Z,0.8963542103249978
TXN-2026-00079,132.06,ecom,TRAVEL,2026-06-25T15:06:15Z,0.43310505756925594
TXN-2026-00080,111.23,pos,HOME_GOODS,2026-07-07T21:49:47Z,0.09896857160938802
TXN-2026-00081,77.11,ecom,PHARMACY,2026-06-17T21:48:46Z,0.32795840654653824
TXN-2026-00082,56.51,pos,EDUCATION,2026-07-17T04:05:58Z,0.4562954726687619
